#node	date	numeric date
NODE_0000044	2000-09-06	2000.681560
KJ501318/2002/USA/MD/Unknown/NY99/unknown/Bird-crow	2002-08-08	2002.601370
NODE_0000045	2000-11-16	2000.875613
KJ501299/2002/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow	2002-08-13	2002.615068
NODE_0000046	2001-01-18	2001.048175
NODE_0000047	2001-04-20	2001.299968
KJ501288/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow	2001-09-18	2001.713699
KJ501494/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow	2001-09-18	2001.713699
NODE_0000048	2002-02-10	2002.111129
KJ501344/2002/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow	2002-07-30	2002.576712
KJ501279/2002/USA/PA/Unknown/NY99/unknown/Bird-other	2002-08-21	2002.636986
KJ501290/2002/USA/DC/District_Of_Columbia/NY99/unknown/Bird-crow	2002-08-08	2002.601370
NODE_0000039	1998-06-21	1998.469340
NODE_0000050	1998-11-08	1998.852231
AY289214/2002/USA/TX/Jefferson/NY99/unknown/Human	2002-08-15	2002.620548
GQ379160/2006/Argentina/ARG/B/San_Antonio_De_Areco/NY99/unknown/Horse	2006-02-28	2006.160274
NODE_0000057	1999-06-25	1999.480670
AF206518/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	1999-09-14	1999.702740
NODE_0000049	1999-08-01	1999.582192
HQ671707/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	1999-08-01	1999.582192
HQ671706/1999/USA/CT/Fairfield/NY99/unknown/Mosquito-Aedes	1999-08-01	1999.582192
NODE_0000051	1999-06-22	1999.473632
HM488125/1999/USA/CT/Fairfield/NY99/unknown/Bird-crow	1999-09-29	1999.743836
NODE_0000054	2007-05-30	2007.409895
KU978766/2008/Colombia/COL/ANT/Medellin/NY99/unknown/Bird-other	2008-07-15	2008.536885
JN716371/2008/Colombia/COL/ANT/Medellin/NY99/unknown/Bird-other	2008-07-15	2008.536885
NODE_0000059	2000-03-11	2000.192117
KX547272/2001/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex	2001-08-07	2001.598630
KX547203/2001/USA/NY/Suffolk/NY99/unknown/Mosquito-Culex	2001-10-04	2001.757534
NODE_0000061	2000-06-07	2000.434086
NODE_0000062	2001-03-27	2001.234425
HM488136/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2001-09-07	2001.683562
HM488133/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2001-07-16	2001.538356
NODE_0000063	2000-11-16	2000.875931
HQ671719/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2001-08-01	2001.582192
JF920307/2001/USA/CT/Fairfield/NY99/unknown/Mosquito-Culiseta	2001-08-01	2001.582192
NODE_0000058	1998-08-15	1998.619365
NODE_0000060	1998-08-15	1998.619365
AF260967/1999/USA/NY/New_York/NY99/unknown/Horse	1999-08-01	1999.582192
NODE_0000064	1998-10-26	1998.817609
NODE_0000020	1999-07-08	1999.515945
MH166882/2000/USA/VA/Norfolk/NY99/unknown/Bird-unknown	2000-08-01	2000.583333
NODE_0000021	2000-01-15	2000.040440
HM488129/2000/USA/CT/New_Haven/NY99/unknown/Mosquito-Culex	2000-09-21	2000.722678
AF404754/2000/USA/NJ/Bergen/NY99/unknown/Mosquito-Culex	2000-08-01	2000.583333
NODE_0000067	1998-10-29	1998.824714
HQ671713/2001/USA/CT/Fairfield/NY99/unknown/Bird-crow	2001-08-01	2001.582192
NODE_0000070	1998-10-29	1998.824714
NODE_0000029	1999-03-20	1999.213745
HM488128/1999/USA/CT/Fairfield/NY99/unknown/Bird-crow	1999-09-27	1999.738356
HM488126/1999/USA/CT/Fairfield/NY99/unknown/Bird-crow	1999-09-25	1999.732877
HM488127/1999/USA/CT/Fairfield/NY99/unknown/Bird-crow	1999-09-24	1999.730137
NODE_0000073	1999-03-18	1999.209740
KX547266/2002/USA/NY/Nassau/NY99/unknown/Mosquito-Culex	2002-08-09	2002.604110
NODE_0000074	1999-03-18	1999.209740
HQ671709/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2000-08-01	2000.583333
NODE_0000077	1999-03-18	1999.209740
HM488131/2000/USA/CT/New_Haven/NY99/unknown/Mosquito-Culex	2000-09-21	2000.722678
NODE_0000079	1999-03-18	1999.209740
AF196835/1999/USA/NY/Bronx/NY99/unknown/Bird-other	1999-09-15	1999.705479
NODE_0000031	2000-02-27	2000.156031
KX547228/2002/USA/NY/Richmond/NY99/unknown/Bird-other	2002-09-10	2002.691781
KX547492/2002/USA/NY/Westchester/NY99/unknown/Mosquito-Culex	2002-09-26	2002.735616
KX547584/2002/USA/NY/Chemung/NY99/unknown/Bird-crow	2002-09-06	2002.680822
NODE_0000034	2000-07-28	2000.571292
KX547478/2001/USA/NY/Rockland/NY99/unknown/Mosquito-Culex	2001-09-08	2001.686301
NODE_0000035	2000-09-01	2000.668033
KX547602/2000/USA/NY/Westchester/NY99/unknown/Mosquito-Culex	2000-09-01	2000.668033
KX547316/2001/USA/NY/Westchester/NY99/unknown/Mosquito-Culex	2001-09-13	2001.700000
NODE_0000072	1999-10-15	1999.787779
AF404756/2000/USA/NY/Rockland/NY99/unknown/Bird-crow	2000-08-01	2000.583333
KJ501465/2001/USA/MI/Oakland/NY99/unknown/Bird-crow	2001-08-24	2001.645205
NODE_0000089	1999-12-16	1999.957587
HQ671711/2000/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2000-08-01	2000.583333
HM488130/2000/USA/CT/New_Haven/NY99/unknown/Mosquito-Culex	2000-09-18	2000.714481
NODE_0000087	2001-10-02	2001.752055
KJ501493/2001/USA/DC/District_Of_Columbia/NY99/unknown/Bird-other	2001-10-02	2001.752055
KJ501445/2001/USA/NJ/Unknown/NY99/unknown/Bird-crow	2001-10-02	2001.752055
NODE_0000075	2000-01-08	2000.020774
KJ501515/2001/USA/NJ/Middlesex/NY99/unknown/Bird-other	2001-10-31	2001.831507
NODE_0000076	2000-11-24	2000.898354
HM488249/2001/USA/NY/Unknown/NY99/unknown/Bird-crow	2001-08-01	2001.582192
KJ501378/2001/USA/PA/Bucks/NY99/unknown/Bird-crow	2001-09-20	2001.719178
KJ501486/2001/USA/NJ/Mercer/NY99/unknown/Bird-other	2001-09-17	2001.710959
KJ501450/2002/USA/PA/Unknown/NY99/unknown/Bird-crow	2002-08-27	2002.653425
KJ501269/2001/USA/NJ/Middlesex/NY99/unknown/Bird-other	2001-10-25	2001.815068
NODE_0000078	2001-01-26	2001.071167
KJ501278/2001/USA/PA/Unknown/NY99/unknown/Bird-crow	2001-10-24	2001.812329
KJ501277/2001/USA/PA/Philadelphia/NY99/unknown/Bird-crow	2001-08-22	2001.639726
NODE_0000080	2001-06-27	2001.486768
KX547251/2002/USA/NY/Rockland/NY99/unknown/Mosquito-Culex	2002-07-19	2002.546575
KX547490/2002/USA/NY/Chemung/NY99/unknown/Bird-crow	2002-09-06	2002.680822
NODE_0000091	1999-11-22	1999.892253
NODE_0000086	2001-01-05	2001.012479
HM756662/2001/USA/NY/Unknown/NY99/unknown/Bird-crow	2001-08-01	2001.582192
HM756664/2002/USA/NY/Unknown/NY99/unknown/Bird-crow	2002-08-01	2002.582192
NODE_0000090	2000-04-06	2000.262341
NODE_0000100	2000-11-02	2000.836273
NODE_0000101	2001-03-11	2001.189626
KJ501374/2001/USA/NJ/Union/NY99/unknown/Bird-other	2001-11-06	2001.847945
HM488248/2001/USA/NY/Unknown/NY99/unknown/Bird-crow	2001-08-01	2001.582192
NODE_0000102	2001-01-04	2001.009044
KX547554/2002/USA/NY/Bronx/NY99/unknown/Bird-other	2002-09-12	2002.697260
KX547509/2002/USA/NY/Westchester/NY99/unknown/Mosquito-Culex	2002-08-13	2002.615068
NODE_0000081	2000-11-10	2000.858354
HM756663/2001/USA/NY/Unknown/NY99/unknown/Bird-crow	2001-08-01	2001.582192
NODE_0000082	2000-11-16	2000.874881
NODE_0000096	2001-05-05	2001.341316
HM488246/2001/USA/NY/Unknown/NY99/unknown/Bird-crow	2001-08-01	2001.582192
HM488247/2001/USA/NY/Unknown/NY99/unknown/Bird-crow	2001-08-01	2001.582192
NODE_0000098	2003-02-27	2003.157190
HM488175/2003/USA/CT/Hartford/NY99/unknown/Mosquito-Culex	2003-08-19	2003.631507
HM756653/2003/USA/CT/Middlesex/NY99/unknown/Mosquito-Culex	2003-08-26	2003.650685
NODE_0000099	2001-02-22	2001.144817
NODE_0000095	2002-02-22	2002.144095
KX547194/2002/USA/NY/New_York/NY99/unknown/Bird-crow	2002-09-21	2002.721918
DQ164188/2003/USA/NY/Westchester/NY99/unknown/Bird-crow	2003-08-01	2003.582192
NODE_0000104	2001-02-22	2001.144817
NODE_0000105	2001-08-01	2001.582192
KX547261/2002/USA/NY/Queens/NY99/unknown/Bird-other	2002-09-04	2002.675342
HM756661/2001/USA/NY/Unknown/NY99/unknown/Bird-crow	2001-08-01	2001.582192
NODE_0000103	2001-05-10	2001.354743
KX547538/2001/USA/NY/Nassau/NY99/unknown/Mosquito-Culex	2001-08-15	2001.620548
KX547484/2002/USA/NY/Genesee/NY99/unknown/Bird-crow	2002-10-01	2002.749315
KX547179/2002/USA/NY/Richmond/NY99/unknown/Bird-crow	2002-08-08	2002.601370
NODE_0000106	2001-10-24	2001.811015
KJ501270/2002/USA/NJ/Unknown/NY99/unknown/Bird-other	2002-09-16	2002.708219
KJ501375/2002/USA/NJ/Unknown/NY99/unknown/Bird-crow	2002-08-08	2002.601370
NODE_0000000	1998-09-27	1998.737732
NODE_0000116	1999-03-31	1999.245010
AF404755/2000/USA/NY/Oswego/NY99/unknown/Bird-other	2000-08-01	2000.583333
NODE_0000117	1999-11-04	1999.843132
NODE_0000118	2000-07-24	2000.561569
KJ501233/2001/USA/AR/Union/NY99/unknown/Bird-other	2001-09-19	2001.716438
NODE_0000119	2000-11-16	2000.875007
KJ501379/2001/USA/WI/Dane/NY99/unknown/Bird-other	2001-09-27	2001.738356
NODE_0000120	2001-08-05	2001.593303
KJ501468/2001/USA/MS/Adams/NY99/unknown/Bird-other	2001-09-27	2001.738356
KJ501473/2001/USA/IL/Dupage/NY99/unknown/Bird-crow	2001-09-27	2001.738356
NODE_0000122	2000-09-24	2000.730936
DQ983578/2003/USA/FL/Indian_River/NY99/unknown/Mosquito-Culex	2003-08-01	2003.582192
KJ501320/2003/USA/MD/Unknown/NY99/unknown/Bird-crow	2003-09-11	2003.694521
NODE_0000124	2001-01-02	2001.005271
MH643887/2018/Brazil/BRA/ES/Sao_Mateus/NY99/unknown/Horse	2018-04-26	2018.316438
NODE_0000125	2001-11-13	2001.867203
KJ501489/2002/USA/VA/Unknown/NY99/unknown/Bird-crow	2002-07-30	2002.576712
KJ501492/2005/USA/WI/Unknown/NY99/unknown/Bird-other	2005-08-12	2005.612329
NODE_0000126	1999-12-09	1999.939272
NODE_0000127	2000-01-13	2000.034286
DQ164202/2002/USA/OH/Licking/NY99/unknown/Human	2002-08-01	2002.582192
NODE_0000128	2000-04-09	2000.272784
KJ501516/2001/USA/OH/Wood/NY99/unknown/Bird-crow	2001-09-20	2001.719178
KJ501362/2001/USA/OH/Cuyahoga/NY99/unknown/Bird-crow	2001-10-01	2001.749315
KJ501394/2001/USA/VA/Unknown/NY99/unknown/Bird-crow	2001-09-13	2001.700000
NODE_0000129	2000-12-29	2000.993962
KJ501317/2001/USA/MD/Unknown/NY99/unknown/Bird-crow	2001-10-04	2001.757534
KJ501393/2001/USA/VA/Unknown/NY99/unknown/Bird-crow	2001-09-14	2001.702740
NODE_0000132	2000-06-21	2000.471551
MH166886/2001/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown	2001-08-01	2001.582192
MH170276/2001/USA/GA/Dekalb/NY99/unknown/Bird-crow	2001-08-01	2001.582192
NODE_0000133	2001-01-04	2001.010138
KJ501332/2001/USA/VA/Unknown/NY99/unknown/Bird-crow	2001-09-13	2001.700000
NODE_0000134	2002-08-01	2002.582192
MH166887/2002/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown	2002-08-01	2002.582192
MH166899/2002/USA/VA/Norfolk/NY99/unknown/Mosquito-unknown	2002-08-01	2002.582192
NODE_0000138	2002-03-18	2002.210453
KX547428/2002/USA/NY/Onondaga/NY99/unknown/Mosquito-Culiseta	2002-09-26	2002.735616
NODE_0000139	2002-04-27	2002.318233
KX547322/2003/USA/NY/Onondaga/NY99/unknown/Mosquito-Culiseta	2003-08-19	2003.631507
KX547301/2002/USA/NY/Onondaga/NY99/unknown/Mosquito-Culiseta	2002-09-10	2002.691781
KX547252/2002/USA/NY/Onondaga/NY99/unknown/Mosquito-Culiseta	2002-09-13	2002.700000
KX547414/2002/USA/NY/Onondaga/NY99/unknown/Mosquito-Culiseta	2002-09-10	2002.691781
NODE_0000142	2000-05-21	2000.385958
KJ501395/2001/USA/VA/Arlington/NY99/unknown/Bird-crow	2001-10-04	2001.757534
KJ501268/2001/USA/NJ/Ocean/NY99/unknown/Bird-other	2001-10-31	2001.831507
KJ501275/2001/USA/OH/Cuyahoga/NY99/unknown/Bird-crow	2001-09-14	2001.702740
KJ501264/2001/USA/GA/Fulton/NY99/unknown/Bird-other	2001-09-13	2001.700000
KJ501276/2002/USA/OH/Hancock/NY99/unknown/Bird-other	2002-08-23	2002.642466
DQ080071/2002/USA/FL/Sumter/NY99/unknown/Horse	2002-08-01	2002.582192
NODE_0000151	2000-07-23	2000.558892
KJ501363/2001/USA/OH/Franklin/NY99/unknown/Bird-crow	2001-09-14	2001.702740
DQ080062/2002/USA/LA/Iberia/NY99/unknown/Mosquito-other	2002-08-01	2002.582192
NODE_0000150	2000-11-07	2000.850914
KJ501512/2001/USA/GA/Fulton/NY99/unknown/Bird-crow	2001-10-02	2001.752055
KX547253/2004/USA/NY/Saint_Lawrence/NY99/unknown/Bird-crow	2004-05-30	2004.411202
NODE_0000153	2001-09-16	2001.708376
DQ431697/2003/USA/FL/Hillsborough/NY99/unknown/Human	2003-08-01	2003.582192
NODE_0000154	2002-03-05	2002.174882
HM488218/2003/USA/CT/Fairfield/NY99/unknown/Mosquito-Culex	2003-08-25	2003.647945
HM488236/2003/USA/CT/Middlesex/NY99/unknown/Mosquito-Culiseta	2003-10-15	2003.787671
NODE_0000155	2000-07-08	2000.516828
NODE_0000158	2000-08-07	2000.600608
MH170263/2001/USA/GA/Wane/NY99/unknown/Bird-other	2001-08-01	2001.582192
DQ080072/2001/USA/FL/Palm_Beach/NY99/unknown/Bird-other	2001-08-01	2001.582192
NODE_0000135	2000-12-02	2000.918661
KJ501455/2001/USA/AL/Montgomery/NY99/unknown/Bird-other	2001-09-14	2001.702740
NODE_0000136	2000-12-02	2000.918661
MH170273/2001/USA/GA/Lowndes/NY99/unknown/Bird-crow	2001-08-01	2001.582192
NODE_0000159	2001-02-25	2001.152521
NODE_0000161	2001-04-09	2001.268649
KJ501235/2001/USA/AR/Sebastian/NY99/unknown/Bird-other	2001-09-26	2001.735616
KJ501234/2001/USA/AR/Saline/NY99/unknown/Bird-other	2001-09-26	2001.735616
NODE_0000140	2001-07-20	2001.549004
KJ501443/2001/USA/IL/Will/NY99/unknown/Bird-crow	2001-10-19	2001.798630
KJ501282/2001/USA/WI/Waushara/NY99/unknown/Bird-other	2001-09-27	2001.738356
NODE_0000141	1998-11-18	1998.879966
KX547386/2000/USA/NY/Rockland/NY99/unknown/Mosquito-Culex	2000-07-21	2000.553279
NODE_0000163	2000-01-01	2000.001682
DQ164206/2004/USA/TX/Harris/WN02/unknown/Bird-other	2004-08-01	2004.583333
NODE_0000164	2000-04-18	2000.295111
KJ501336/2001/USA/AL/Calhoun/WN02/unknown/Bird-other	2001-09-07	2001.683562
MH170236/2006/USA/CO/Weld/WN02/unknown/Mosquito-unknown	2006-08-01	2006.582192
JF488096/2009/USA/NY/Unknown/WN02/unknown/Bird-crow	2009-08-01	2009.582192
NODE_0001220	2000-08-14	2000.619522
KJ501377/2001/USA/OH/Allen/WN02/unknown/Bird-other	2001-08-23	2001.642466
KX547381/2003/USA/NY/Putnam/WN02/unknown/Bird-other	2003-10-03	2003.754795
NODE_0001187	2000-08-10	2000.608231
KX547458/2003/USA/NY/Suffolk/WN02/unknown/Bird-other	2003-09-22	2003.724658
KX547239/2003/USA/NY/Suffolk/WN02/unknown/Mosquito-Culiseta	2003-08-20	2003.634247
NODE_0001258	2001-11-27	2001.905826
KX547384/2006/USA/NY/Richmond/WN02/unknown/Bird-other	2006-08-07	2006.598630
W1453/2004/USA/MN/Anoka/WN02/unknown/Bird-other	2004-07-07	2004.515027
NODE_0001214	2000-08-15	2000.622265
KJ501319/2002/USA/MD/Unknown/WN02/unknown/Bird-crow	2002-08-22	2002.639726
HM488181/2002/USA/IL/Unknown/WN02/unknown/Bird-crow	2002-08-01	2002.582192
NODE_0001623	2000-08-01	2000.583484
KX547503/2002/USA/NY/Erie/WN02/unknown/Mosquito-Culex	2002-08-14	2002.617808
HQ671742/2002/USA/IL/Unknown/WN02/unknown/Bird-other	2002-08-01	2002.582192
NODE_0001216	2000-07-26	2000.566196
KX547402/2002/USA/NY/Onondaga/WN02/unknown/Mosquito-Culex	2002-09-18	2002.713699
KX547527/2002/USA/NY/Schenectady/WN02/unknown/Horse	2002-10-03	2002.754795
KX547292/2009/USA/NY/Suffolk/WN02/unknown/Mosquito-Culex	2009-09-16	2009.708219
NODE_0001224	2000-08-01	2000.584155
W1502/2005/USA/MN/Ramsey/WN02/unknown/Bird-other	2005-09-06	2005.680822
NODE_0001225	2003-03-11	2003.189455
KX547234/2012/USA/NY/Westchester/WN02/unknown/Mosquito-Culex	--	--
KX547328/2013/USA/NY/Rockland/WN02/unknown/Mosquito-Culex	2013-07-03	2013.502740
NODE_0001612	2000-08-16	2000.624591
KX547411/2003/USA/NY/Rockland/WN02/unknown/Mosquito-Culex	2003-07-10	2003.521918
NODE_0001613	2002-05-23	2002.390232
KJ501423/2004/USA/SD/Unknown/WN02/unknown/Bird-other	2004-08-06	2004.596995
W1444/2004/USA/MN/Hennepin/WN02/unknown/Bird-other	2004-06-25	2004.482240
NODE_0001211	2000-07-01	2000.498607
KX547533/2004/USA/NY/Cattaraugus/WN02/unknown/Bird-crow	2004-05-20	2004.383880
NODE_0001212	2003-01-17	2003.043946
DQ431703/2004/USA/CO/Mesa/WN02/unknown/Human	2004-08-01	2004.583333
DQ431701/2004/USA/CO/Mesa/WN02/unknown/Human	2004-08-01	2004.583333
NODE_0001259	2000-07-12	2000.529431
KX547566/2002/USA/NY/Onondaga/WN02/unknown/Mosquito-Culex	2002-07-24	2002.560274
KX547525/2002/USA/NY/Montgomery/WN02/unknown/Bird-crow	2002-09-02	2002.669863
NODE_0001262	2005-08-23	2005.641613
MH170229/2006/USA/CO/Weld/WN02/unknown/Mosquito-unknown	2006-08-01	2006.582192
MH170249/2006/USA/CO/Weld/WN02/unknown/Mosquito-Culex	2006-08-01	2006.582192
NODE_0001205	2000-08-21	2000.638836
AY795965/2002/USA/MI/Isabella/WN02/unknown/Unknown	2002-08-01	2002.582192
NODE_0001206	2001-12-24	2001.979905
KJ501333/2002/USA/VA/Unknown/WN02/unknown/Bird-other	2002-08-13	2002.615068
KJ501490/2002/USA/VA/Unknown/WN02/unknown/Bird-crow	2002-08-06	2002.595890
KJ501519/2002/USA/VA/Unknown/WN02/unknown/Bird-crow	2002-08-13	2002.615068
NODE_0001539	2000-07-30	2000.577621
HM488174/2003/USA/CT/New_Haven/WN02/unknown/Mosquito-Culex	2003-08-12	2003.612329
NODE_0001540	2000-12-11	2000.944125
KX547383/2002/USA/NY/Rockland/WN02/unknown/Mosquito-Culex	2002-10-04	2002.757534
NODE_0001541	2004-10-10	2004.775472
KX547570/2005/USA/NY/Rockland/WN02/unknown/Bird-other	2005-09-02	2005.669863
KX547400/2006/USA/NY/Queens/WN02/unknown/Bird-other	2006-08-30	2006.661644
NODE_0001681	2000-07-10	2000.523076
NODE_0001682	2002-01-18	2002.046911
KJ501338/2002/USA/AL/Unknown/WN02/unknown/Bird-other	2002-09-09	2002.689041
KJ501446/2003/USA/NJ/Unknown/WN02/unknown/Bird-other	2003-09-16	2003.708219
NODE_0001683	2004-11-18	2004.881223
KJ501425/2007/USA/SD/Unknown/WN02/unknown/Bird-other	2007-08-03	2007.587671
NODE_0001684	2008-06-18	2008.463865
MH170261/2008/USA/GA/Dekalb/WN02/unknown/Mosquito-Culex	2008-08-01	2008.583333
MH170271/2008/USA/GA/Dekalb/WN02/unknown/Mosquito-Culex	2008-08-01	2008.583333
NODE_0001578	2000-11-24	2000.898573
NODE_0001579	2003-07-02	2003.501177
KX547321/2005/USA/NY/Rockland/WN02/unknown/Bird-other	2005-09-07	2005.683562
NODE_0001580	2004-06-02	2004.420099
KX547499/2004/USA/NY/Herkimer/WN02/unknown/Bird-crow	2004-07-14	2004.534153
JF488094/2004/USA/NY/Unknown/WN02/unknown/Bird-crow	2004-08-01	2004.583333
NODE_0001581	2001-10-19	2001.798818
KJ501286/2002/USA/WI/Milwaukee/WN02/unknown/Bird-other	2002-09-27	2002.738356
HM488186/2003/USA/IL/Unknown/WN02/unknown/Bird-crow	2003-08-01	2003.582192
NODE_0001583	2002-11-24	2002.896150
DQ080061/2004/USA/LA/Iberia/WN02/unknown/Bird-other	2004-08-01	2004.583333
JF488088/2004/USA/CT/Unknown/WN02/unknown/Mosquito-Culex	2004-08-01	2004.583333
NODE_0001614	2000-07-23	2000.557450
HM488250/2003/USA/NY/Unknown/WN02/unknown/Bird-crow	2003-08-01	2003.582192
NODE_0001615	2001-05-03	2001.335699
KJ501467/2002/USA/MI/Wayne/WN02/unknown/Bird-other	2002-09-27	2002.738356
NODE_0001616	2001-12-07	2001.932826
W1391/2002/USA/MN/Fillmore/WN02/unknown/Bird-crow	2002-08-08	2002.601370
NODE_0001618	2002-09-20	2002.719021
W1460/2004/USA/MN/Dakota/WN02/unknown/Bird-crow	2004-07-10	2004.523224
W1462/2004/USA/MN/Ramsey/WN02/unknown/Bird-crow	2004-07-13	2004.531421
NODE_0001619	2004-04-26	2004.319036
W1447/2004/USA/MN/Olmsted/WN02/unknown/Bird-crow	2004-06-29	2004.493169
W1448/2004/USA/MN/Olmsted/WN02/unknown/Bird-crow	2004-06-29	2004.493169
W1449/2004/USA/MN/Olmsted/WN02/unknown/Bird-crow	2004-06-29	2004.493169
NODE_0001189	2000-07-25	2000.565499
HM488183/2002/USA/IL/Unknown/WN02/unknown/Bird-other	2002-08-01	2002.582192
NODE_0001190	2001-07-26	2001.564597
