geo	value	lat	long
division	NY/Ulster	41.8689317	-74.2618518
division	TX/Montgomery	30.301949	-95.5065944
division	TX/Jefferson	29.834772	-94.1704496
division	MN/Marshall	48.3605336	-96.381968
division	ND/Sargent	46.1101793	-97.6291809
division	MT/Phillips	48.4777441	-113.5251043
division	NY/Fulton	43.1061507	-74.4461771
division	NY/Herkimer	43.4911326	-74.9481252
division	NY/Madison	42.875882	-75.6802581
division	NY/Oneida	43.2144051	-75.4039155
division	NY/Clinton	43.0484029	-75.3785034
division	OK/Payne	36.0721527	-96.9456522
division	ND/Stutsman	46.9596318	-98.9742609
division	NY/Orleans	43.2244513	-78.2272835
division	MI/Wayne	42.2682408	-83.2844172
division	ND/Mountrail	48.230321	-102.3603325
division	IL/Cook	41.8197385	-87.756525
division	NY/Schoharie	42.5757217	-74.4390277
division	CO/Mesa	39.0589084	-108.565996
division	KY/Boone	37.5175837	-84.316601
division	NY/Nassau	42.5159145	-73.6101159
division	MD/Prince-George's	38.8242032	-76.8936372
division	DC/District-Of-Columbia	38.912708	-77.009223
division	VA/Norfolk	36.8462923	-76.2929252
division	FL/Hillsborough	27.9184543	-82.3488057
division	NE/Knox	42.6206698	-97.8901445
division	WI/Racine	42.7260523	-87.7825242
division	WI/Dane	43.2505472	-89.5015088
division	MO/Saint-Louis	38.6268039	-90.1994097
division	OH/Allen	40.8077797	-84.0572225
division	IN/Hendricks	39.7565309	-86.5173641
division	OH/Cuyahoga	41.4301347	-81.6905558
division	NY/Otsego	42.5984272	-75.0142701
division	AL/Madison	34.7736807	-86.5675095
division	NY/Erie	42.7164263	-78.7620327
division	CO/Larimer	40.6810174	-105.4726907
division	GA/Dekalb	33.7575613	-84.2186508
division	NY/Genesee	43.0102726	-78.1780196
division	NY/Cortland	42.5842136	-76.0704906
division	GA/Fulton	34.0580391	-84.2961283
division	NY/Richmond	42.7905911	-77.5319396
division	GA/Wilkinson	32.7924994	-83.1623561
division	GA/Muscogee	32.4840651	-84.8502167
division	NY/Montgomery	41.5275938	-74.236816
division	TX/Potter	35.3683354	-101.8776577
division	NY/Kings	43.1509069	-73.8542895
division	GA/Henry	33.4519942	-84.1367771
division	CT/Windham	41.6999029	-72.1575772
division	NY/Saint-Lawrence	44.4973591	-75.0657043
division	MT/Sheridan	48.7625919	-104.5154683
division	NY/Livingston	42.7360902	-77.7781416
division	CO/Park	39.1089299	-105.7561639
division	FL/Seminole	28.7225829	-81.2353683
division	NY/Bronx	40.8506558	-73.8665241
division	NY/New-York	40.7127281	-74.0060152
division	ND/Burleigh	46.9498874	-100.5127667
division	NY/Rensselaer	42.6425795	-73.742898
division	NY/Seneca	42.7831619	-76.8386051
division	SD/Day	45.3658879	-97.6152661
division	SD/Bennett	43.1854085	-101.655263
division	UT/Sanpete	39.3606305	-111.5767825
division	IA/Kossuth	43.1825351	-94.209098
division	CO/Weld	40.5632344	-104.4835287
division	NY/Ontario	42.8580624	-77.295025
division	GA/Gwinnett	33.9566869	-84.0227467
division	NJ/Union	40.6976019	-74.2632024
division	PA/Philadelphia	39.9527237	-75.1635262
division	PA/Bucks	40.3451668	-75.1263909
division	NJ/Mercer	40.2807177	-74.7033717
division	NJ/Middlesex	40.5734911	-74.494037
division	MI/Oakland	42.6618842	-83.3804439
division	MD/Anne-Arundel	38.9722583	-76.573454
division	MD/Baltimore	39.2908816	-76.610759
division	NJ/Bergen	40.7292686	-74.0656969
division	OH/Hancock	40.9939911	-83.6587588
division	OH/Wood	41.2776661	-83.6643025
division	AL/Montgomery	32.3669656	-86.3006485
division	AR/Sebastian	35.1770785	-94.2654285
division	WI/Waushara	44.1103406	-89.2347222
division	IL/Will	41.4194058	-87.9994754
division	AR/Saline	34.6021249	-92.6542869
division	FL/Sumter	28.6689748	-82.076402
division	VA/Arlington	38.8903961	-77.0841585
division	GA/Wane	31.185846	-81.489241
division	GA/Lowndes	30.8849234	-83.2718189
division	OH/Franklin	39.5589474	-84.3041074
division	NJ/Ocean	40.8472234	-74.0322823
division	AR/Union	33.1637366	-92.6171029
division	MS/Adams	31.4904433	-91.3297733
division	IL/Dupage	41.8603735	-88.0906873
division	OH/Licking	40.1318041	-82.4627856
division	FL/Palm-Beach	26.6279798	-80.4494174
division	FL/Indian-River	27.7041555	-80.5894422
division	GA/Chatham	31.9668887	-81.0626008
division	SD/Stanley	44.4189684	-100.802728
division	CA/Imperial	33.0305487	-115.3595666
division	AZ/Maricopa	33.34883	-112.49123
division	AZ/Maricopoa	33.34883	-112.49123
division	AZ/Pima	32.1112624	-111.6546163
division	NV/Churchill	39.6136309	-118.4191948
division	UT/Weber	41.2728039	-111.8860648
division	NM/Socorro	34.0572858	-106.8930799
division	AZ/Apache	35.214632	-109.4786676
division	AZ/Cochise	31.8514532	-109.8181858
division	NM/Bernalillo	35.0349239	-106.6870693
division	ND/Logan	46.4650338	-99.4501721
division	CA/Kern	35.3145701	-118.7538222
division	CA/Kings	36.0784807	-119.7956342
division	AZ/Yavapai	34.5668857	-112.5515965
division	CA/Sacramento	38.5815719	-121.4943996
division	TX/El-Paso	31.7754152	-106.4646348
division	CA/Yolo	38.7184542	-121.9059001
division	WI/Dodge	44.1321852	-91.5520942
division	MEX/TAM	22.2907037	-97.86516283
division	MEX/BCN	28.6978649	-114.1768339
division	MEX/SON	28.4292391	-109.1915515
division	AZ/Coconino	35.9363252	-111.6948197
division	MN/Otter-Tail	46.4184196	-95.713142
division	NM/Dona-Ana	32.32817	-106.8494235
division	NY/Cattaraugus	42.2234823	-78.6477096
division	MD/Talbot	38.7542065	-76.1919824
division	ND/Mclean	47.6002156	-101.1719782
division	ND/Grand-Forks	47.9078244	-97.0592028
division	MT/Flathead	48.3840879	-113.972144
division	NV/Pershing	40.3913722	-118.4778996
division	CA/Stanislaus	37.5500871	-121.0501425
division	CA/Glenn	39.5912766	-122.3778662
division	CA/San-Bernardino	34.8253019	-116.0833144
division	CA/San-Diego	32.7174209	-117.1627714
division	CA/Butte	39.6519275	-121.5858444
division	CA/Solano	38.2218938	-121.9163555
division	ND/Morton	46.7244733	-101.1644543
division	TX/Hall	34.5036637	-100.6536777
division	CA/Shasta	40.7965121	-121.9979194
division	CA/Contra-Costa	37.9034806	-121.9175345
division	CA/Calaveras	38.2558181	-120.4981492
division	CA/Placer	39.1012064	-120.7650606
division	CA/Tulare	36.2516475	-118.852583
division	CA/Madera	36.9622745	-120.0594685
division	CA/San-Joaquin	37.9372901	-121.2773719
division	CA/Yuba	39.2839755	-121.3556818
division	CA/Merced	37.1641544	-120.7678602
division	TX/Fort-Bend	29.511218	-95.7807348
division	TX/Dallas	32.7762719	-96.7968559
division	TX/Denton	33.1838787	-97.1413417
division	SD/Yankton	42.8712938	-97.3967011
division	MEX/CHH/Ciudad-Juarez	31.6922154	-106.4240315
division	NY/Schuyler	42.8245448	-73.90359225
division	NE/Douglas	41.2954112	-96.1415672
division	MN/Swift	45.2797223	-95.6898654
division	CA/Inyo	36.5595325	-117.4074712
division	SD/Pennington	43.9955746	-102.7854668
division	TX/Travis	30.2878569	-97.7561392
division	TX/Williamson	30.6580927	-97.6041649
division	TX/Collin	33.1609629	-96.6060984
division	TX/Colllin	33.1609629	-96.6060984
division	TX/Tarrant	32.7513658	-97.335696
division	TX/Ellis	32.3347829	-96.7920233
division	NE/Dundy	40.1849874	-101.6959427
division	WA/Spokane	47.6579425	-117.4212265
division	WA/Pierce	46.6343532	-119.4521747
division	CA/Sutter	38.9509675	-121.697088
division	NH/Rockingham	42.9966675	-71.1003143
division	NH/Hillsborough	43.1470788	-71.94574348
division	NH/Strafford	43.3312505	-71.0399927
division	NH/Cheshire	42.9525022	-72.2834412
division	CA/Losangeles	34.0802852	-118.3617435
division	CA/Ventura	34.4458248	-119.0779359
division	CA/Lassen	40.7685579	-120.730998
division	OR/Jackson	45.40871195	-122.7235481
division	OR/Umatilla	45.9173549	-119.3425179
division	OR/Klamath	44.1630023	-120.8157924
division	OR/Morrow	45.360901	-119.6052459
division	OR/Malheur	42.9756509	-117.0648312
division	OR/Benton	42.474695	-121.383188
division	OR/Josephine	42.4689439	-121.3873089
division	LA/East-Baton-Rouge	30.5254797	-91.0899217
division	LA/Ascension	30.2116442	-90.9186104
division	LA/Allen	30.6558242	-92.8598049
division	LA/West-Baton-Rouge	30.4514623	-91.3261882
division	LA/Bossier	32.6676663	-93.5959786
division	LA/Ouachita	32.4790511	-92.1615004
division	LA/Caddo	32.529173	-93.8931785
division	LA/Calcasieu	30.2232015	-93.3434067
division	WA/Lincoln	47.5321	-118.4701
division	WA/Franklin	46.4937	-118.8672
division	WA/Walla	46.2055155	-118.5174284
division	WA/Kittitas	46.9838217	-120.4182898
division	OH/Lucas	41.6508446	-83.621321
division	OH/Summit	41.1457902	-81.5333603
division	OH/Hamilton	39.3995067	-84.5613428
division	OH/Belmont	40.0057737	-81.0097516
division	OH/Lorain	41.2633554	-82.1734746
division	OH/Williams	41.5018224	-84.5923785
division	CA/Riverside	33.9533546	-117.3961623
division	CA/Los-Angeles	34.0536909	-118.2427666
division	CA/Fresno	36.7394421	-119.7848307
division	CA/Lake	39.0505411	-122.7776556
division	CA/Alameda	37.6090291	-121.899142
division	CA/Orange	33.7500378	-117.8704931
division	MN/Redwood	44.3788613	-95.2532373
division	MN/Ramsey	45.0165728	-93.0949501
division	MN/Anoka	45.2710195	-93.2827625
division	MN/OtterTail	46.425516	-95.5572643
division	MN/Lyon	44.3880733	-95.8287296
division	MN/Nobles	43.6634212	-95.7527672
division	MN/Fillmore	43.6466588	-92.0636359
division	MN/Hennepin	45.0257232	-93.4865052
division	MN/Brown	44.2350232	-94.6955051
division	MN/Nicollet	44.3380412	-94.2362169
division	MN/Stevens	45.5837016	-95.9946194
division	MN/Carver	44.807118	-93.7871792
division	MN/Pope	45.5850258	-95.4469471
division	MN/St.Louis	47.6201005	-92.4363343
division	MN/Benton	45.7162129	-94.0481042
division	MN/Dakota	44.666655	-93.044911
division	MN/Mower	43.6832277	-92.753704
division	MN/Kandiyohi	45.142373	-95.0025846
division	MN/Chippewa	45.027661	-95.5314914
division	MN/Cass	47.0234117	-94.3454604
division	MN/Wabasha	44.2767596	-92.2018164
division	MN/Olmsted	43.999812	-92.3765614
division	MN/Washington	45.0078591	-92.8743564
division	MN/Rice	44.3413376	-93.2865484
division	MN/Renville	44.7242874	-94.9084771
division	MN/Waseca	44.0172242	-93.5885717
division	MN/Steele	44.0137336	-93.2203671
division	MN/Scott	44.6506998	-93.5025726
division	MN/Sherburne	45.4427088	-93.7459202
division	MN/Beltrami	47.9978537	-94.8799011
division	MN/Stearns	45.535326	-94.6139422
division	MN/Mahnomen	47.3313602	-95.8142911
division	MN/Meeker	45.1183643	-94.5175345
division	MN/Pennington	48.0513335	-96.0829271
division	WA/Grant	47.1987	-119.3732
division	Unknown	6.40258995	43.39838202
division	CO/Boulder	40.01425075	-105.2532884
